timestamp (ISO),user_id,trial,target_distance,target_size,movement_time (ms),click_offset_x,click_offset_y,trys_per_trial,cursor_type,circle_color
2017-06-13T20:21:01,4,14,400,60,869,-9.046287744131462,16.585237364924524,2,special,red
2017-06-13T20:21:03,4,15,400,35,1184,-8.998983047851652,-2.9378774497354243,2,special,red
2017-06-13T20:21:03,4,16,200,100,454,-3.237922666200774,3.4932710997962033,1,special,red
2017-06-13T20:21:04,4,17,400,170,387,-7.8353129908537085,55.089470995614874,1,special,red
2017-06-13T20:21:04,4,18,300,100,587,-28.42417341722586,13.388684122731718,1,special,red
2017-06-13T20:21:05,4,19,400,60,488,21.754863726344865,-14.399940991624618,1,special,red
2017-06-13T20:21:06,4,20,200,60,1151,-25.570572963187942,-5.238141916315669,1,special,gray
2017-06-13T20:21:07,4,21,300,35,530,7.0165529699804665,18.5795667808365,1,special,gray
2017-06-13T20:21:07,4,22,200,170,407,-32.774558406223946,-26.977955156471353,1,special,gray
2017-06-13T20:21:08,4,23,300,60,634,-34.70162750091015,14.76765813022621,1,special,gray
2017-06-13T20:21:09,4,24,170,60,926,14.881054487014467,1.2878483336043587,1,special,gray
2017-06-13T20:21:10,4,25,400,100,476,-53.65967444621333,-6.635252871278851,1,special,gray
2017-06-13T20:21:11,4,26,170,35,767,-14.516250080849659,6.112492662325565,1,special,gray
2017-06-13T20:21:12,4,27,300,35,869,1.5923231302397198,1.8240040791465617,1,special,gray
2017-06-13T20:21:12,4,28,400,100,751,-24.55979401400191,-32.09984401938826,1,special,gray
2017-06-13T20:21:13,4,29,170,35,600,6.517654563297015,11.60882848513603,1,special,gray
2017-06-13T20:21:14,4,30,200,170,791,2.192217873764207,-37.55297059017295,1,special,green
2017-06-13T20:21:15,4,31,300,170,550,31.595443955780866,-78.25141318787044,1,special,green
2017-06-13T20:21:15,4,32,170,35,599,-3.9904445883892095,-20.11001372437174,1,special,green
2017-06-13T20:21:16,4,33,200,35,678,-9.086065514734514,-7.204321070841047,1,special,green
2017-06-13T20:21:17,4,34,300,60,554,-10.899398450427952,-3.3680381648792945,1,special,green
2017-06-13T20:21:17,4,35,170,60,718,19.169323762178465,-0.13787692038039268,1,special,green
2017-06-13T20:21:18,4,36,400,170,633,59.99028661860774,-38.349251806024085,1,special,green
2017-06-13T20:21:19,4,37,400,100,777,22.778911732964048,11.47171105040519,1,special,green
2017-06-13T20:21:19,4,38,170,170,444,-30.886467935878954,-10.776085868588893,1,special,green
2017-06-13T20:21:20,4,39,200,35,759,9.219219506942864,-1.1865672968035597,1,special,green
